Job_Title,Career_Switch,Salary_USD,Industry,Fav_Language,Happiness_Salary,Happiness_WorkLife,Happiness_Coworkers,Happiness_Management,Happiness_Mobility,Happiness_Learning,Difficulty_Breaking_In,Job_Priority,Gender,Age,Country,Education_Level,Ethnicity
Data Engineer,No,66k-85k,Finance,Python,2,1,1,1,3,7,Easy,Remote Work,Female,28,United States,Masters,Asian or Asian American
Data Analyst,Yes,66k-85k,Tech,Python,6,6,6,6,5,6,Difficult,Other (Please Specify):Currently very happy with where I am.,Female,24,United States,Bachelors,Hispanic or Latino
Other (Please Specify):Business Analyst ,No,41k-65k,Other (Please Specify):Third Party Logistics ,C/C++,3,6,7,7,1,3,Very Difficult,Better Salary,Male,29,United States,Bachelors,White or Caucasian
Data Analyst,No,66k-85k,Telecommunication,Python,4,6,4,5,4,4,Neither easy nor difficult,Better Salary,Male,24,United States,Masters,White or Caucasian
Data Analyst,Yes,41k-65k,Tech,Python,5,6,7,7,7,6,Difficult,Better Salary,Male,25,United States,Bachelors,Asian or Asian American
Other (Please Specify):Sr. Supply Chain Analyst ,No,86k-105k,Other (Please Specify):Food & Beverage ,R,4,3,3,5,5,5,Difficult,Better Salary,Male,32,United States,Masters,Asian or Asian American
Data Analyst,Yes,106k-125k,Tech,Other:SQL,10,6,9,5,8,7,Easy,Good Work/Life Balance,Female,27,United States,Bachelors,White or Caucasian
Other (Please Specify):Director of Data Analytics,No,86k-105k,Healthcare,Python,9,10,10,10,10,10,Very Easy,Good Work/Life Balance,Female,33,United States,PhD,Hispanic or Latino
Data Analyst,No,125k-150k,Tech,Python,4,7,6,4,2,4,Easy,Better Salary,Female,27,United States,Masters,Asian or Asian American
Data Analyst,Yes,66k-85k,Education,R,7,7,7,7,4,7,Easy,Remote Work,Male,31,United States,Masters,White or Caucasian
Data Analyst,No,66k-85k,Other (Please Specify):Retail,Python,7,8,9,7,7,7,Neither easy nor difficult,Better Salary,Male,25,United States,Bachelors,White or Caucasian
Data Analyst,Yes,41k-65k,Other (Please Specify):Advertising,Other:Dont require,4,4,3,3,5,6,Very Difficult,Better Salary,Male,33,United States,Bachelors,Asian or Asian American
Data Analyst,No,66k-85k,Tech,Python,3,4,2,1,1,4,Neither easy nor difficult,Better Salary,Male,25,United States,Bachelors,White or Caucasian
Data Analyst,No,86k-105k,Other (Please Specify):Automotive,Python,5,4,5,4,3,6,Neither easy nor difficult,"Other (Please Specify):Different job title, either product owner or consulting",Male,23,United States,Bachelors,White or Caucasian
Other (Please Specify):Learning Management Specialist,No,41k-65k,Healthcare,JavaScript,2,4,6,5,3,4,Easy,Better Salary,Female,51,United States,Bachelors,Black or African American
Other (Please Specify):Research Analyst,Yes,41k-65k,Other (Please Specify):Advertising,R,3,5,5,6,3,4,Neither easy nor difficult,Better Salary,Male,24,Canada,Bachelors,Asian or Asian American
Data Analyst,Yes,41k-65k,Finance,Python,4,4,6,4,5,6,Difficult,Better Salary,Female,55,United States,Masters,Other (Please Specify):Race isn't a thing
Data Analyst,No,86k-105k,Other (Please Specify):Biotech,R,8,10,8,7,8,10,Very Easy,Remote Work,Female,30,United States,Masters,White or Caucasian
Data Analyst,Yes,41k-65k,Other (Please Specify):Consulting,Python,9,9,9,9,7,4,Difficult,Better Salary,Male,25,Canada,Bachelors,Asian or Asian American
